card_id,name,rarity,type,cost,attribute,power,counter,color,block,feature,effect,set
ST03-001,Crocodile,L,LEADER,Life5,Special,5000,-,Blue,1,The Seven Warlords of the Sea/Baroque Works,[Activate: Main] [Once Per Turn] DON!! −4 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Return up to 1 Character with a cost of 5 or less to the owner's hand.,-The Seven Warlords of the Sea-[ST-03]
ST03-002,Edward Weevil,C,CHARACTER,3,Slash,5000,1000,Blue,1,The Seven Warlords of the Sea,-,-The Seven Warlords of the Sea-[ST-03]
ST03-003,Crocodile,SR,CHARACTER,5,Special,6000,-,Blue,1,The Seven Warlords of the Sea/Baroque Works,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x1] [On Block] Place up to 1 Character with a cost of 2 or less at the bottom of the owner's deck.",-The Seven Warlords of the Sea-[ST-03]
ST03-004,Gecko Moria,C,CHARACTER,4,Special,5000,1000,Blue,1,The Seven Warlords of the Sea/Thriller Bark Pirates,[On Play] Add up to 1 {The Seven Warlords of the Sea} or {Thriller Bark Pirates} type Character with a cost of 4 or less other than [Gecko Moria] from your trash to your hand.,-The Seven Warlords of the Sea-[ST-03]
ST03-005,Dracule Mihawk,C,CHARACTER,4,Slash,5000,2000,Blue,1,The Seven Warlords of the Sea,[DON!! x1] [When Attacking] Draw 2 cards and trash 2 cards from your hand.,-The Seven Warlords of the Sea-[ST-03]
ST03-006,Jinbe,C,CHARACTER,2,Strike,4000,1000,Blue,1,Fish-Man/The Seven Warlords of the Sea/The Sun Pirates,-,-The Seven Warlords of the Sea-[ST-03]
ST03-007,Sentomaru,C,CHARACTER,3,Slash,4000,1000,Blue,1,Navy,"[DON!! x1] [Activate: Main] [Once Per Turn] ➁ (You may rest the specified number of DON!! cards in your cost area.): Play up to 1 [Pacifista] with a cost of 4 or less from your deck, then shuffle your deck.",-The Seven Warlords of the Sea-[ST-03]
ST03-008,Trafalgar Law,C,CHARACTER,1,Slash,1000,-,Blue,1,The Seven Warlords of the Sea/Heart Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",-The Seven Warlords of the Sea-[ST-03]
ST03-009,Donquixote Doflamingo,SR,CHARACTER,7,Special,7000,-,Blue,1,The Seven Warlords of the Sea/Donquixote Pirates,[On Play] Return up to 1 Character with a cost of 7 or less to the owner's hand.,-The Seven Warlords of the Sea-[ST-03]
ST03-010,Bartholomew Kuma,C,CHARACTER,2,Strike,3000,-,Blue,1,The Seven Warlords of the Sea/Revolutionary Army,[On Play] Look at 3 cards from the top of your deck and return them to the top or bottom of the deck in any order.,-The Seven Warlords of the Sea-[ST-03]
ST03-011,Buggy,C,CHARACTER,1,Slash,3000,1000,Blue,1,The Seven Warlords of the Sea/Buggy's Delivery,-,-The Seven Warlords of the Sea-[ST-03]
ST03-012,Pacifista,C,CHARACTER,4,Special,6000,1000,Blue,1,Biological Weapon/Navy,-,-The Seven Warlords of the Sea-[ST-03]
ST03-013,Boa Hancock,C,CHARACTER,3,Special,1000,1000,Blue,1,The Seven Warlords of the Sea/Kuja Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",-The Seven Warlords of the Sea-[ST-03]
ST03-014,Marshall.D.Teach,C,CHARACTER,4,Special,4000,1000,Blue,1,The Seven Warlords of the Sea/Blackbeard Pirates,[On Play] Return up to 1 Character with a cost of 3 or less to the owner's hand.,-The Seven Warlords of the Sea-[ST-03]
ST03-015,Sables,C,EVENT,4,,-,-,Blue,1,The Seven Warlords of the Sea/Baroque Works,[Main] Return up to 1 Character with a cost of 7 or less to the owner's hand.,-The Seven Warlords of the Sea-[ST-03]
ST03-016,Thrust Pad Cannon,C,EVENT,2,,-,-,Blue,1,The Seven Warlords of the Sea/Revolutionary Army,[Counter] Return up to 1 Character with a cost of 3 or less to the owner's hand.,-The Seven Warlords of the Sea-[ST-03]
ST03-017,Love-Love Mellow,C,EVENT,2,,-,-,Blue,1,The Seven Warlords of the Sea/Kuja Pirates,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, draw 1 card if you have 3 or less cards in your hand.",-The Seven Warlords of the Sea-[ST-03]
