card_id,name,rarity,type,cost,attribute,power,counter,color,block,feature,effect,set
OP01-060,Donquixote Doflamingo,L,LEADER,Life5,Special,5000,-,Blue,1,The Seven Warlords of the Sea/Donquixote Pirates,"[DON!! x2] [When Attacking] ➀ (You may rest the specified number of DON!! cards in your cost area.): Reveal 1 card from the top of your deck. If that card is a {The Seven Warlords of the Sea} type Character card with a cost of 4 or less, you may play that card rested.",-Blue Donquixote Doflamingo- [ST-17]
OP01-073,Donquixote Doflamingo,R,CHARACTER,3,Special,4000,1000,Blue,1,The Seven Warlords of the Sea/Donquixote Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Look at 5 cards from the top of your deck and place them at the top or bottom of the deck in any order.",-Blue Donquixote Doflamingo- [ST-17]
OP01-086,Overheat,R,EVENT,2,,-,-,Blue,1,The Seven Warlords of the Sea/Donquixote Pirates,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, return up to 1 active Character with a cost of 3 or less to the owner's hand.",-Blue Donquixote Doflamingo- [ST-17]
OP02-054,Gecko Moria,C,CHARACTER,4,Special,6000,1000,Blue,1,The Seven Warlords of the Sea/Thriller Bark Pirates,-,-Blue Donquixote Doflamingo- [ST-17]
OP02-057,Bartholomew Kuma,UC,CHARACTER,3,Strike,3000,1000,Blue,1,The Seven Warlords of the Sea/Revolutionary Army,"[On Play] Look at 2 cards from the top of your deck; reveal up to 1 {The Seven Warlords of the Sea} type card and add it to your hand. Then, place the rest at the top or bottom of the deck in any order.",-Blue Donquixote Doflamingo- [ST-17]
P-030,Jinbe,P,CHARACTER,4,Strike,5000,1000,Blue,1,Fish-Man/The Seven Warlords of the Sea/The Sun Pirates,[On K.O.] Place up to 1 Character with a cost of 3 or less at the bottom of the owner's deck.,-Blue Donquixote Doflamingo- [ST-17]
ST03-002,Edward Weevil,C,CHARACTER,3,Slash,5000,1000,Blue,1,The Seven Warlords of the Sea,-,-Blue Donquixote Doflamingo- [ST-17]
ST03-004,Gecko Moria,C,CHARACTER,4,Special,5000,1000,Blue,1,The Seven Warlords of the Sea/Thriller Bark Pirates,[On Play] Add up to 1 {The Seven Warlords of the Sea} or {Thriller Bark Pirates} type Character with a cost of 4 or less other than [Gecko Moria] from your trash to your hand.,-Blue Donquixote Doflamingo- [ST-17]
ST03-005,Dracule Mihawk,C,CHARACTER,4,Slash,5000,2000,Blue,1,The Seven Warlords of the Sea,[DON!! x1] [When Attacking] Draw 2 cards and trash 2 cards from your hand.,-Blue Donquixote Doflamingo- [ST-17]
ST03-008,Trafalgar Law,C,CHARACTER,1,Slash,1000,-,Blue,1,The Seven Warlords of the Sea/Heart Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",-Blue Donquixote Doflamingo- [ST-17]
ST17-001,Crocodile,C,CHARACTER,4,Special,5000,1000,Blue,3,The Seven Warlords of the Sea/Baroque Works,"[On Play] Reveal 1 card from the top of your deck. If that card is a {The Seven Warlords of the Sea} type card, draw 2 cards and place 1 card from your hand at the top of your deck.",-Blue Donquixote Doflamingo- [ST-17]
ST17-002,Trafalgar Law,SR,CHARACTER,4,Slash,5000,1000,Blue,3,The Seven Warlords of the Sea/Heart Pirates,"[On Play] You may return 1 of your Characters to the owner's hand: If your Leader has the {The Seven Warlords of the Sea} type, return up to 1 Character with a cost of 4 or less to the owner's hand.",-Blue Donquixote Doflamingo- [ST-17]
ST17-003,Buggy,C,CHARACTER,1,Slash,2000,2000,Blue,3,The Seven Warlords of the Sea/Buggy's Delivery,[On Play] Look at 3 cards from the top of your deck and place them at the top of your deck in any order.,-Blue Donquixote Doflamingo- [ST-17]
ST17-004,Boa Hancock,SR,CHARACTER,4,Special,6000,-,Blue,3,The Seven Warlords of the Sea/Kuja Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] Look at 3 cards from the top of your deck and place them at the top or bottom of your deck in any order. Then, give up to 1 rested DON!! card to 1 of your {The Seven Warlords of the Sea} type Leader or Character cards.",-Blue Donquixote Doflamingo- [ST-17]
ST17-005,Marshall.D.Teach,C,CHARACTER,2,Special,3000,1000,Blue,3,The Seven Warlords of the Sea/Blackbeard Pirates,[Activate: Main] [Once Per Turn] You may place 1 card from your hand at the top of your deck: Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,-Blue Donquixote Doflamingo- [ST-17]
