card_id,name,rarity,type,cost,attribute,power,counter,color,block,feature,effect,set
OP02-001,Edward.Newgate,L,LEADER,Life6,Special,6000,-,Red,1,The Four Emperors/Whitebeard Pirates,[End of Your Turn] Add 1 card from the top of your Life cards to your hand.,-PARAMOUNT WAR- [OP02]
OP02-001,Edward.Newgate,L,LEADER,Life6,Special,6000,-,Red,1,The Four Emperors/Whitebeard Pirates,[End of Your Turn] Add 1 card from the top of your Life cards to your hand.,-PARAMOUNT WAR- [OP02]
OP02-002,Monkey.D.Garp,L,LEADER,Life4,Strike,5000,-,Red/Black,1,Navy,"[Your Turn] When this Leader or any of your Characters is given a DON!! card, give up to 1 of your opponent's Characters with a cost of 7 or less −1 cost during this turn.",-PARAMOUNT WAR- [OP02]
OP02-002,Monkey.D.Garp,L,LEADER,Life4,Strike,5000,-,Red/Black,1,Navy,"[Your Turn] When this Leader or any of your Characters is given a DON!! card, give up to 1 of your opponent's Characters with a cost of 7 or less −1 cost during this turn.",-PARAMOUNT WAR- [OP02]
OP02-003,Atmos,C,CHARACTER,4,Slash,6000,1000,Red,1,Whitebeard Pirates,-,-PARAMOUNT WAR- [OP02]
OP02-004,Edward.Newgate,SR,CHARACTER,9,Special,10000,-,Red,1,The Four Emperors/Whitebeard Pirates,"[On Play] Up to 1 of your Leader gains +2000 power until the start of your next turn. Then, you cannot add Life cards to your hand using your own effects during this turn.[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",-PARAMOUNT WAR- [OP02]
OP02-004,Edward.Newgate,SR,CHARACTER,9,Special,10000,-,Red,1,The Four Emperors/Whitebeard Pirates,"[On Play] Up to 1 of your Leader gains +2000 power until the start of your next turn. Then, you cannot add Life cards to your hand using your own effects during this turn.[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",-PARAMOUNT WAR- [OP02]
OP02-005,Curly.Dadan,UC,CHARACTER,2,Slash,3000,1000,Red,1,Mountain Bandits,"[On Play] Look at up to 5 cards from the top of your deck; reveal up to 1 red Character with a cost of 1 and add it to your hand. Then, place the rest at the bottom of your deck in any order.",-PARAMOUNT WAR- [OP02]
OP02-006,Kingdew,C,CHARACTER,5,Strike,7000,1000,Red,1,Whitebeard Pirates,-,-PARAMOUNT WAR- [OP02]
OP02-007,Thatch,C,CHARACTER,6,Wisdom,8000,1000,Red,1,Whitebeard Pirates,-,-PARAMOUNT WAR- [OP02]
OP02-008,Jozu,R,CHARACTER,4,Strike,4000,2000,Red,1,Whitebeard Pirates,"[DON!! x1] If you have 2 or less Life cards and your Leader's type includes ""Whitebeard Pirates"", this Character gains [Rush].(This card can attack on the turn in which it is played.)",-PARAMOUNT WAR- [OP02]
OP02-009,Squard,UC,CHARACTER,3,Slash,5000,-,Red,1,Whitebeard Pirates Allies,"[On Play] If your Leader's type includes ""Whitebeard Pirates"", give up to 1 of your opponent's Characters −4000 power during this turn and add 1 card from the top of your Life cards to your hand.",-PARAMOUNT WAR- [OP02]
OP02-009,Squard,UC,CHARACTER,3,Slash,5000,-,Red,1,Whitebeard Pirates Allies,"[On Play] If your Leader's type includes ""Whitebeard Pirates"", give up to 1 of your opponent's Characters −4000 power during this turn and add 1 card from the top of your Life cards to your hand.",-PARAMOUNT WAR- [OP02]
OP02-010,Dogura,C,CHARACTER,1,Slash,2000,1000,Red,1,Mountain Bandits,[Activate: Main] You may rest this Character: Play up to 1 red Character other than [Dogura] with a cost of 1 from your hand.,-PARAMOUNT WAR- [OP02]
OP02-011,Vista,R,CHARACTER,3,Slash,3000,1000,Red,1,Whitebeard Pirates,[On Play] K.O. up to 1 of your opponent's Characters with 3000 power or less.,-PARAMOUNT WAR- [OP02]
OP02-012,Blenheim,C,CHARACTER,2,Slash,3000,-,Red,1,Whitebeard Pirates,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",-PARAMOUNT WAR- [OP02]
