card_id,name,rarity,type,cost,attribute,power,counter,color,block,feature,effect,set
EB01-001,Kouzuki Oden,L,LEADER,Life4,Slash,5000,-,Red/Green,2,Land of Wano/Kouzuki Clan,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules.[DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",-Memorial Collection- [EB-01]
EB01-001,Kouzuki Oden,L,LEADER,Life4,Slash,5000,-,Red/Green,2,Land of Wano/Kouzuki Clan,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules.[DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",-Memorial Collection- [EB-01]
EB01-002,Izo,R,CHARACTER,5,Ranged,7000,-,Red,2,Land of Wano/Whitebeard Pirates,"[On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: If your Leader has the {Land of Wano} or {Whitebeard Pirates} type, give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.",-Memorial Collection- [EB-01]
EB01-003,Kid & Killer,R,CHARACTER,4,Slash/Special,5000,-,Red,2,Supernovas/Kid Pirates,"[Rush] (This card can attack on the turn in which it is played.)[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",-Memorial Collection- [EB-01]
EB01-003,Kid & Killer,R,CHARACTER,4,Slash/Special,5000,-,Red,2,Supernovas/Kid Pirates,"[Rush] (This card can attack on the turn in which it is played.)[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",-Memorial Collection- [EB-01]
EB01-004,Koza,C,CHARACTER,2,Ranged,3000,1000,Red,2,Alabasta,[When Attacking] You may give your 1 active Leader −5000 power during this turn: Give up to 1 of your opponent's Characters −3000 power during this turn.,-Memorial Collection- [EB-01]
EB01-005,Doma,C,CHARACTER,1,Slash,3000,1000,Red,2,Whitebeard Pirates Allies,-,-Memorial Collection- [EB-01]
EB01-006,Tony Tony.Chopper,SR,CHARACTER,3,Strike,4000,1000,Red,2,Animal/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",-Memorial Collection- [EB-01]
EB01-006,Tony Tony.Chopper,SR,CHARACTER,3,Strike,4000,1000,Red,2,Animal/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",-Memorial Collection- [EB-01]
EB01-006,Tony Tony.Chopper,SR,CHARACTER,3,Strike,4000,1000,Red,2,Animal/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",-Memorial Collection- [EB-01]
EB01-007,Yamato,C,CHARACTER,5,Strike,5000,2000,Red,2,Land of Wano,[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,-Memorial Collection- [EB-01]
EB01-008,LittleOars Jr.,R,CHARACTER,6,Strike,7000,1000,Red,2,Giant/Whitebeard Pirates Allies,"[Once Per Turn] If this Character would be K.O.'d by an effect, you may trash 1 Event or Stage card from your hand instead.",-Memorial Collection- [EB-01]
EB01-009,Just Shut Up and Come with Us!!!!,C,EVENT,1,,-,-,Red,2,Drum Kingdom/Straw Hat Crew,"[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order.",-Memorial Collection- [EB-01]
EB01-010,There's No Way You Could Defeat Me!!,R,EVENT,3,,-,-,Red,2,Water Seven/Straw Hat Crew,[Counter] K.O. up to 1 of your opponent's Characters with 6000 base power or less.,-Memorial Collection- [EB-01]
EB01-011,Mini-Merry,C,STAGE,1,,-,-,Red,2,Straw Hat Crew,[Activate: Main] You may rest this card and place 1 of your Characters with 1000 base power at the bottom of your deck: Draw 1 card.,-Memorial Collection- [EB-01]
EB01-012,Cavendish,SR,CHARACTER,5,Slash,6000,1000,Green,2,Supernovas/Beautiful Pirates,"[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.",-Memorial Collection- [EB-01]
EB01-012,Cavendish,SR,CHARACTER,5,Slash,6000,1000,Green,2,Supernovas/Beautiful Pirates,"[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.",-Memorial Collection- [EB-01]
EB01-013,Kouzuki Hiyori,R,CHARACTER,4,Wisdom,-,1000,Green,2,Land of Wano/Kouzuki Clan,"[Activate: Main] You may trash this Character: Play up to 1 {Land of Wano} type Character card with a cost of 5 or less other than [Kouzuki Hiyori] from your hand. Then, draw 1 card.",-Memorial Collection- [EB-01]
EB01-013,Kouzuki Hiyori,R,CHARACTER,4,Wisdom,-,1000,Green,2,Land of Wano/Kouzuki Clan,"[Activate: Main] You may trash this Character: Play up to 1 {Land of Wano} type Character card with a cost of 5 or less other than [Kouzuki Hiyori] from your hand. Then, draw 1 card.",-Memorial Collection- [EB-01]
EB01-014,Sanji,R,CHARACTER,4,Strike,5000,2000,Green,2,FILM/Straw Hat Crew,[DON!! x1] [Your Turn] This Character gains +1000 power for every 3 of your rested DON!! cards.,-Memorial Collection- [EB-01]
EB01-015,Scratchmen Apoo,R,CHARACTER,1,Special,1000,2000,Green,2,Supernovas/On-Air Pirates,[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less.,-Memorial Collection- [EB-01]
EB01-016,Bingoh,C,CHARACTER,1,Wisdom,-,1000,Green,2,Land of Wano,[Activate: Main] You may rest this Character: K.O. up to 1 of your opponent's rested Characters with a cost of 1 or less.,-Memorial Collection- [EB-01]
EB01-017,Blueno,C,CHARACTER,2,Strike,2000,1000,Green,2,FILM/CP0,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",-Memorial Collection- [EB-01]
EB01-018,Mountain God,C,CHARACTER,5,Strike,7000,1000,Green,2,Animal/Land of Wano,-,-Memorial Collection- [EB-01]
EB01-019,Off-White,R,EVENT,2,,-,-,Green,2,The Seven Warlords of the Sea/Donquixote Pirates,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, look at 3 cards from the top of your deck; reveal up to 1 {Donquixote Pirates} type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",-Memorial Collection- [EB-01]
EB01-020,Chambres,C,EVENT,1,,-,-,Green,2,Supernovas/Heart Pirates,"[Main] If your Leader has the {Supernovas} type, return 1 of your Characters to the owner's hand, and play up to 1 Character card with a cost of 2 or less from your hand that is a different color than the returned Character.",-Memorial Collection- [EB-01]
EB01-021,Hannyabal,L,LEADER,Life4,Slash,5000,-,Blue/Purple,2,Impel Down,[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.,-Memorial Collection- [EB-01]
EB01-021,Hannyabal,L,LEADER,Life4,Slash,5000,-,Blue/Purple,2,Impel Down,[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.,-Memorial Collection- [EB-01]
EB01-022,Inazuma,SR,CHARACTER,6,Slash,7000,1000,Blue,2,Impel Down/Revolutionary Army,"[End of Your Turn] If you have 2 or less cards in your hand, draw 2 cards.",-Memorial Collection- [EB-01]
EB01-022,Inazuma,SR,CHARACTER,6,Slash,7000,1000,Blue,2,Impel Down/Revolutionary Army,"[End of Your Turn] If you have 2 or less cards in your hand, draw 2 cards.",-Memorial Collection- [EB-01]
EB01-023,Edward Weevil,R,CHARACTER,4,Slash,6000,-,Blue,2,The Seven Warlords of the Sea,[On Play] Draw 1 card.,-Memorial Collection- [EB-01]
EB01-024,Hamlet,C,CHARACTER,3,Slash,4000,1000,Blue,2,Animal Kingdom Pirates/SMILE,"If you have 4 or less cards in your hand, all of your {SMILE} type Characters gain +1000 power.",-Memorial Collection- [EB-01]
EB01-025,Fourtricks,C,CHARACTER,3,Slash,5000,1000,Blue,2,Animal Kingdom Pirates/SMILE,-,-Memorial Collection- [EB-01]
EB01-026,Prince Bellett,C,CHARACTER,2,Ranged,2000,2000,Blue,2,Impel Down,"[DON!! x1] [When Attacking] If you have 1 or less cards in your hand, return up to 1 Character with a cost of 3 or less to the owner's hand.",-Memorial Collection- [EB-01]
EB01-027,Mr.1(Daz.Bonez),R,CHARACTER,5,Slash,6000,1000,Blue,2,Baroque Works,"If your Leader's type includes ""Baroque Works"", this Character gains +1000 power for every 2 Events in your trash.[On Play] Draw 2 cards and trash 1 card from your hand.",-Memorial Collection- [EB-01]
EB01-027,Mr.1(Daz.Bonez),R,CHARACTER,5,Slash,6000,1000,Blue,2,Baroque Works,"If your Leader's type includes ""Baroque Works"", this Character gains +1000 power for every 2 Events in your trash.[On Play] Draw 2 cards and trash 1 card from your hand.",-Memorial Collection- [EB-01]
EB01-028,Gum-Gum Champion Rifle,R,EVENT,1,,-,-,Blue,2,Impel Down/Straw Hat Crew,"[Counter] If your Leader has the {Impel Down} type, up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, your opponent returns 1 of their active Characters to the owner's hand.",-Memorial Collection- [EB-01]
EB01-029,Sorry. I'm a Goner.,C,EVENT,1,,-,-,Blue,2,East Blue/Straw Hat Crew,"[Counter] Reveal 1 card from the top of your deck. If the revealed card has a cost of 4 or more, return up to 1 of your Characters to the owner's hand. Then, place the revealed card at the bottom of your deck.",-Memorial Collection- [EB-01]
